Programa,MemoriaMaxBytes
shellsort_FilaDinamica,90192
shellsort_FilaEstatica,91216
shellsort_ListaDinamica,89616
shellsort_ListaEstatica,91216
shellsort_PilhaDinamica,89616
shellsort_PilhaEstatica,91216
shellsort_FilaDinamica,90192
shellsort_FilaEstatica,91216
shellsort_ListaDinamica,89616
shellsort_ListaEstatica,91216
shellsort_PilhaDinamica,89616
shellsort_PilhaEstatica,91216
shellsort_FilaDinamica,90192
shellsort_FilaEstatica,91216
shellsort_ListaDinamica,89616
shellsort_ListaEstatica,91216
shellsort_PilhaDinamica,89616
shellsort_PilhaEstatica,91216
shellsort_FilaDinamica,90192
shellsort_FilaEstatica,91216
shellsort_ListaDinamica,89616
shellsort_ListaEstatica,91216
shellsort_PilhaDinamica,89616
shellsort_PilhaEstatica,91216
shellsort_FilaDinamica,90192
shellsort_FilaEstatica,91216
shellsort_ListaDinamica,89616
shellsort_ListaEstatica,91216
shellsort_PilhaDinamica,89616
shellsort_PilhaEstatica,91216
shellsort_FilaDinamica,33510896
shellsort_FilaEstatica,41252370
shellsort_ListaDinamica,42020864
shellsort_ListaEstatica,41252370
shellsort_PilhaDinamica,42020864
shellsort_PilhaEstatica,41252370
shellsort_FilaDinamica,90192
shellsort_FilaEstatica,91216
shellsort_ListaDinamica,89616
shellsort_ListaEstatica,91216
shellsort_PilhaDinamica,89616
shellsort_PilhaEstatica,91216
shellsort_FilaDinamica,111696
shellsort_FilaEstatica,127120
shellsort_ListaDinamica,118784
shellsort_ListaEstatica,127120
shellsort_PilhaDinamica,118784
shellsort_PilhaEstatica,127120
shellsort_FilaDinamica,111696
shellsort_FilaEstatica,127120
shellsort_ListaDinamica,118784
shellsort_ListaEstatica,127120
shellsort_PilhaDinamica,118784
shellsort_PilhaEstatica,127120
shellsort_FilaDinamica,111696
shellsort_FilaEstatica,127120
shellsort_ListaDinamica,118784
shellsort_ListaEstatica,127120
shellsort_PilhaDinamica,118784
shellsort_PilhaEstatica,127120
shellsort_FilaDinamica,505328
shellsort_FilaEstatica,639761
shellsort_ListaDinamica,733184
shellsort_ListaEstatica,639761
shellsort_PilhaDinamica,733184
shellsort_PilhaEstatica,639761
shellsort_FilaDinamica,3857392
shellsort_FilaEstatica,4832272
shellsort_ListaDinamica,5320704
shellsort_ListaEstatica,4832272
shellsort_PilhaDinamica,5320704
shellsort_PilhaEstatica,4832272
shellsort_FilaDinamica,33510896
shellsort_FilaEstatica,41252370
shellsort_ListaDinamica,42020864
shellsort_ListaEstatica,41252370
shellsort_PilhaDinamica,42020864
shellsort_PilhaEstatica,41252370
shellsort_FilaDinamica,33510896
shellsort_FilaEstatica,41252370
shellsort_ListaDinamica,42020864
shellsort_ListaEstatica,41252370
shellsort_PilhaDinamica,42020864
shellsort_PilhaEstatica,16086549
shellsort_FilaDinamica,33510896
shellsort_FilaEstatica,41252370
shellsort_ListaDinamica,42020864
shellsort_ListaEstatica,41252370
shellsort_PilhaDinamica,25252370
shellsort_PilhaEstatica,16086549
shellsort_FilaDinamica,33510896
shellsort_FilaEstatica,41252370
shellsort_ListaDinamica,42020864
shellsort_ListaEstatica,41252370
shellsort_PilhaDinamica,25252370
shellsort_PilhaEstatica,16086549
shellsort_FilaDinamica,16082549
shellsort_FilaEstatica,32086548
shellsort_ListaDinamica,16086548
shellsort_ListaEstatica,16086549
shellsort_PilhaDinamica,16086549
shellsort_PilhaEstatica,16086549
shellsort_FilaDinamica,16082549
shellsort_FilaEstatica,16082549
shellsort_ListaDinamica,16086548
shellsort_ListaEstatica,16086549
shellsort_FilaDinamica,84145
shellsort_FilaEstatica,84145
shellsort_ListaDinamica,88145
shellsort_ListaEstatica,88144
shellsort_PilhaDinamica,88144
shellsort_PilhaEstatica,88144
shellsort_FilaDinamica,84145
shellsort_FilaEstatica,84145
shellsort_ListaDinamica,88145
shellsort_ListaEstatica,88144
shellsort_PilhaDinamica,88144
shellsort_PilhaEstatica,88144
shellsort_FilaDinamica,98544
shellsort_FilaEstatica,98545
shellsort_ListaDinamica,102543
shellsort_ListaEstatica,102545
shellsort_PilhaDinamica,102545
shellsort_PilhaEstatica,102545
shellsort_FilaDinamica,242543
shellsort_FilaEstatica,242546
shellsort_ListaDinamica,246546
shellsort_ListaEstatica,246546
shellsort_PilhaDinamica,246546
shellsort_PilhaEstatica,246545
shellsort_FilaDinamica,1682548
shellsort_FilaEstatica,1682547
shellsort_ListaDinamica,1686548
shellsort_ListaEstatica,1686547
shellsort_PilhaDinamica,1686547
shellsort_PilhaEstatica,1686548
shellsort_FilaDinamica,16082549
shellsort_FilaEstatica,16082549
shellsort_ListaDinamica,16086548
shellsort_ListaEstatica,16086549
shellsort_PilhaDinamica,16086549
shellsort_PilhaEstatica,16086549
